Date,Open,High,Low,Close,Volume
11/14/2024,"147.64","149.00","145.55","146.76","194,463,297"
11/13/2024,"149.07","149.33","145.90","146.27","191,903,297"
11/12/2024,"146.78","149.65","146.01","148.29","198,634,703"
11/11/2024,"148.68","148.85","143.57","145.26","182,325,594"
11/08/2024,"148.77","149.77","146.26","147.63","175,665,797"
11/07/2024,"146.39","148.93","146.17","148.88","207,323,297"
11/06/2024,"142.96","146.49","141.96","145.61","242,043,906"
11/05/2024,"137.45","140.37","137.33","139.91","160,537,406"
11/04/2024,"137.21","138.96","135.57","136.05","187,528,188"
11/01/2024,"134.70","137.31","134.57","135.40","207,127,812"
10/31/2024,"137.60","137.61","132.11","132.76","270,039,625"
10/30/2024,"139.54","140.33","136.81","139.34","179,418,094"
10/29/2024,"140.29","142.26","138.90","141.25","157,593,594"
10/28/2024,"143.00","143.14","140.05","140.52","173,586,703"
10/25/2024,"140.93","144.13","140.80","141.54","205,122,094"
10/24/2024,"140.82","141.35","138.46","140.41","172,354,891"
10/23/2024,"142.03","142.43","137.46","139.56","285,929,969"
10/22/2024,"142.91","144.42","141.78","143.59","226,311,594"
10/21/2024,"138.13","143.71","138.00","143.71","264,554,500"
10/18/2024,"138.67","138.90","137.28","138.00","176,090,203"
10/17/2024,"139.34","140.89","136.87","136.93","306,435,906"
10/16/2024,"133.98","136.62","131.58","135.72","264,879,688"
10/15/2024,"137.87","138.57","128.74","131.60","377,831,000"
